lonlat,date,lon,lat,sif,sif_sigma,year,doy,month,dayssinceapril1,group
x-122.7y39.5,2018-07-06,-122.699996948242,39.5000038146973,0.691897988319397,0.383078992366791,2018,187,7,96,burned
x-122.7y39.5,2018-07-14,-122.699996948242,39.5000038146973,0.453503996133804,0.384775012731552,2018,195,7,104,burned
x-122.7y39.5,2018-07-22,-122.699996948242,39.5000038146973,0.219054996967316,0.386496007442474,2018,203,7,112,burned
x-122.7y39.5,2018-07-30,-122.699996948242,39.5000038146973,0.35682401061058,0.371141999959946,2018,211,7,120,burned
x-122.7y39.5,2018-08-07,-122.699996948242,39.5000038146973,0.391856014728546,0.394576996564865,2018,219,8,128,burned
x-122.7y39.5,2018-08-15,-122.699996948242,39.5000038146973,0.0570494011044502,0.379646986722946,2018,227,8,136,burned
x-122.7y39.5,2018-08-23,-122.699996948242,39.5000038146973,0.264562010765076,0.363622009754181,2018,235,8,144,burned
x-122.7y39.5,2018-08-31,-122.699996948242,39.5000038146973,0.266703993082047,0.338290989398956,2018,243,8,152,burned
x-122.7y39.5,2018-09-08,-122.699996948242,39.5000038146973,0.294690996408463,0.336091995239258,2018,251,9,160,burned
x-122.7y39.5,2018-09-16,-122.699996948242,39.5000038146973,0.255160003900528,0.310402005910873,2018,259,9,168,burned
x-122.7y39.5,2018-09-24,-122.699996948242,39.5000038146973,0.166553005576134,0.306537985801697,2018,267,9,176,burned
x-122.7y39.5,2018-10-02,-122.699996948242,39.5000038146973,0.142190992832184,0.318572014570236,2018,275,10,184,burned
x-122.7y39.5,2018-10-10,-122.699996948242,39.5000038146973,0.262226998806,0.284121990203857,2018,283,10,192,burned
x-122.7y39.5,2018-10-18,-122.699996948242,39.5000038146973,-0.00651022978127003,0.278582006692886,2018,291,10,200,burned
x-122.7y39.5,2018-10-26,-122.699996948242,39.5000038146973,0.197130993008614,0.271506011486053,2018,299,10,208,burned
x-122.7y39.5,2018-11-03,-122.699996948242,39.5000038146973,0.211722001433373,0.269621998071671,2018,307,11,216,burned
x-122.7y39.5,2018-11-11,-122.699996948242,39.5000038146973,0.143381997942925,0.279498010873795,2018,315,11,224,burned
x-122.7y39.5,2018-11-19,-122.699996948242,39.5000038146973,0.172951996326447,0.256630003452301,2018,323,11,232,burned
x-122.7y39.5,2018-11-27,-122.699996948242,39.5000038146973,-0.0145418997853994,0.293965995311737,2018,331,11,240,burned
